TERRITORY,COUNTRY_CODE,TOTAL_LISTENERS,SUPER_LISTENERS,SUPER_LISTENER_PCT
LOS ANGELES,US,13384,1527,11.41
NEW YORK,US,12103,1394,11.52
DALLAS-FT. WORTH,US,9746,1010,10.36
CHICAGO,US,8257,824,9.98
SEATTLE-TACOMA,US,6973,565,8.1
SAN ANTONIO,US,6109,744,12.18
"WASHINGTON, DC (HAGRSTWN)",US,5587,530,9.49
SALT LAKE CITY,US,4986,436,8.74
SAN FRANCISCO-OAK-SAN JOSE,US,4892,572,11.69
HOUSTON,US,4381,328,7.49
BOSTON (MANCHESTER),US,4314,360,8.34
DENVER,US,4115,414,10.06
CHARLESTON-HUNTINGTON,US,3867,321,8.3
PHILADELPHIA,US,3809,314,8.24
Montreal,CA,3702,366,9.89
Toronto,CA,3543,482,13.6
NASHVILLE,US,3343,320,9.57
MILWAUKEE,US,2966,221,7.45
CORPUS CHRISTI,US,2758,341,12.36
MINNEAPOLIS-ST. PAUL,US,2749,222,8.08
BURLINGTON-PLATTSBURGH,US,2515,200,7.95
ATLANTA,US,2395,164,6.85
PHOENIX (PRESCOTT),US,2307,203,8.8
ALBUQUERQUE-SANTA FE,US,2226,282,12.67
MIAMI-FT. LAUDERDALE,US,2159,209,9.68
"PORTLAND, OR",US,2083,181,8.69
DETROIT,US,2022,153,7.57
PITTSBURGH,US,2009,146,7.27
KNOXVILLE,US,1878,179,9.53
ORLANDO-DAYTONA BCH-MELBRN,US,1874,155,8.27
SAN DIEGO,US,1841,222,12.06
SHREVEPORT,US,1814,144,7.94
MADISON,US,1773,171,9.64
WHEELING-STEUBENVILLE,US,1721,144,8.37
LAS VEGAS,US,1704,148,8.69
CHARLOTTE,US,1629,117,7.18
AUSTIN,US,1612,150,9.31
WAUSAU-RHINELANDER,US,1588,117,7.37
BLUEFIELD-BECKLEY-OAK HILL,US,1441,108,7.49
MEDFORD-KLAMATH FALLS,US,1414,121,8.56
SACRAMNTO-STKTON-MODESTO,US,1410,113,8.01
TAMPA-ST. PETE (SARASOTA),US,1384,95,6.86
INDIANAPOLIS,US,1287,92,7.15
Vancouver,CA,1250,162,12.96
,MX,1223,97,7.93
WILKES BARRE-SCRANTON-HZTN,US,1212,90,7.43
Guadalajara,MX,1201,81,6.74
CLEVELAND-AKRON (CANTON),US,1194,80,6.7
GREEN BAY-APPLETON,US,1177,78,6.63
PARKERSBURG,US,1163,101,8.68
KANSAS CITY,US,1155,76,6.58
ST. LOUIS,US,1056,67,6.34
Calgary,CA,1047,101,9.65
BALTIMORE,US,1035,71,6.86
NORFOLK-PORTSMTH-NEWPT NWS,US,1012,91,8.99
CINCINNATI,US,987,87,8.81
RALEIGH-DURHAM (FAYETVLLE),US,982,51,5.19
SPOKANE,US,963,62,6.44
CLARKSBURG-WESTON,US,958,77,8.04
ROANOKE-LYNCHBURG,US,926,80,8.64
RICHMOND-PETERSBURG,US,916,63,6.88
LA CROSSE-EAU CLAIRE,US,889,85,9.56
"COLUMBUS, OH",US,885,63,7.12
HARRISBURG-LNCSTR-LEB-YORK,US,873,51,5.84
Ciudad de M̩xico,MX,855,88,10.29
GREENVLL-SPART-ASHEVLL-AND,US,799,71,8.89
HARTFORD & NEW HAVEN,US,782,59,7.54
OKLAHOMA CITY,US,768,67,8.72
Monterrey,MX,768,62,8.07
Ottawa,CA,750,73,9.73
HARLINGEN-WSLCO-BRNSVL-MCA,US,738,85,11.52
GRAND RAPIDS-KALMZOO-B.CRK,US,732,47,6.42
WICHITA-HUTCHINSON PLUS,US,725,71,9.79
ALBANY-SCHENECTADY-TROY,US,678,72,10.62
YAKIMA-PASCO-RCHLND-KNNWCK,US,669,57,8.52
WEST PALM BEACH-FT. PIERCE,US,667,59,8.85
WACO-TEMPLE-BRYAN,US,659,43,6.53
Edmonton,CA,638,45,7.05
Puebla,MX,611,45,7.37
SANTABARBRA-SANMAR-SANLUOB,US,597,61,10.22
PROVIDENCE-NEW BEDFORD,US,596,50,8.39
NEW ORLEANS,US,583,37,6.35
SIOUX FALLS(MITCHELL),US,565,38,6.73
COLORADO SPRINGS-PUEBLO,US,553,45,8.14
HONOLULU,US,549,47,8.56
TUCSON (SIERRA VISTA),US,549,48,8.74
Zapopan,MX,535,41,7.66
LOUISVILLE,US,534,50,9.36
Ecatepec de Morelos,MX,532,45,8.46
JOHNSTOWN-ALTOONA-ST COLGE,US,512,35,6.84
DES MOINES-AMES,US,511,31,6.07
BUFFALO,US,510,43,8.43
ERIE,US,503,72,14.31
TYLER-LONGVIEW(LFKN&NCGD),US,489,33,6.75
Mississauga,CA,478,59,12.34
TULSA,US,472,30,6.36
FRESNO-VISALIA,US,468,37,7.91
"ROCHESTER, NY",US,452,36,7.96
JACKSONVILLE,US,448,29,6.47
Winnipeg,CA,447,32,7.16
"TRI-CITIES, TN-VA",US,424,39,9.2
TALLAHASSEE-THOMASVILLE,US,419,30,7.16
"CHARLESTON, SC",US,414,33,7.97
BOISE,US,410,26,6.34
Hamilton,CA,403,34,8.44
BIRMINGHAM (ANN AND TUSC),US,400,25,6.25
London,CA,400,38,9.5
Tijuana,MX,397,38,9.57
Surrey,CA,392,35,8.93
AMARILLO,US,388,24,6.19
GREENSBORO-H.POINT-W.SALEM,US,369,27,7.32
"COLUMBIA, SC",US,368,37,10.05
MEMPHIS,US,365,19,5.21
Chihuahua,MX,364,27,7.42
DAYTON,US,359,22,6.13
LINCOLN & HASTINGS-KRNY,US,358,16,4.47
FT. MYERS-NAPLES,US,355,30,8.45
EL PASO (LAS CRUCES),US,349,34,9.74
Brampton,CA,346,32,9.25
RENO,US,336,39,11.61
CHATTANOOGA,US,325,14,4.31
RAPID CITY,US,320,27,8.44
PORTLAND-AUBURN,US,319,21,6.58
EUGENE,US,317,34,10.73
OMAHA,US,316,11,3.48
Toluca,MX,307,31,10.1
"SPRINGFIELD, MO",US,306,20,6.54
SYRACUSE,US,296,28,9.46
MOBILE-PENSACOLA (FT WALT),US,289,16,5.54
DULUTH-SUPERIOR,US,278,17,6.12
TOLEDO,US,276,22,7.97
CEDAR RAPIDS-WTRLO-IWC&DUB,US,273,14,5.13
Tlalnepantla de Baz,MX,263,24,9.13
BILLINGS,US,260,20,7.69
PALM SPRINGS,US,256,27,10.55
Burnaby,CA,254,25,9.84
Morelia,MX,251,18,7.17
San Luis Potosi,MX,248,23,9.27
Aguascalientes,MX,245,16,6.53
BATON ROUGE,US,244,18,7.38
CHAMPAIGN&SPRNGFLD-DECATUR,US,241,14,5.81
HARRISONBURG,US,240,15,6.25
MONTEREY-SALINAS,US,234,20,8.55
Laval,CA,229,23,10.04
LEXINGTON,US,228,17,7.46
SAVANNAH,US,228,17,7.46
MYRTLE BEACH-FLORENCE,US,221,17,7.69
BINGHAMTON,US,221,31,14.03
FARGO,US,219,15,6.85
Ciudad Nezahualcoyotl,MX,215,18,8.37
Halifax,CA,215,13,6.05
PADUCAH-CAPE GIRARD-HARSBG,US,210,7,3.33
LUBBOCK,US,208,7,3.37
LANSING,US,206,11,5.34
SPRINGFIELD-HOLYOKE,US,204,16,7.84
Mexicali,MX,200,13,6.5
Kitchener,CA,197,21,10.66
ROCKFORD,US,195,18,9.23
CHARLOTTESVILLE,US,194,11,5.67
Guadalupe,MX,192,13,6.77
SOUTH BEND-ELKHART,US,191,12,6.28
Pachuca,MX,191,15,7.85
FT. WAYNE,US,189,5,2.65
Saltillo,MX,187,4,2.14
Cuernavaca,MX,187,16,8.56
PEORIA-BLOOMINGTON,US,186,13,6.99
FT. SMITH-FAY-SPRNGDL-RGRS,US,184,10,5.43
Saskatoon,CA,183,18,9.84
Victoria,CA,178,16,8.99
CASPER-RIVERTON,US,174,4,2.3
LITTLE ROCK-PINE BLUFF,US,173,10,5.78
Montr̩al,CA,172,30,17.44
DAVENPORT-R.ISLAND-MOLINE,US,171,8,4.68
Markham,CA,170,19,11.18
Hermosillo,MX,170,11,6.47
HUNTSVILLE-DECATUR (FLOR),US,165,6,3.64
Xalapa,MX,165,13,7.88
MISSOULA,US,164,9,5.49
IDAHO FALS-POCATLLO(JCKSN),US,162,11,6.79
Gatineau,CA,159,25,15.72
Richmond Hill,CA,159,23,14.47
FLINT-SAGINAW-BAY CITY,US,158,11,6.96
Ciudad Apodaca,MX,155,9,5.81
Longueuil,CA,153,17,11.11
Windsor,CA,152,10,6.58
Oakville,CA,151,20,13.25
Kelowna,CA,150,15,10
Villahermosa,MX,149,14,9.4
GREENVILLE-N.BERN-WASHNGTN,US,145,13,8.97
ROCHESTR-MASON CITY-AUSTIN,US,144,12,8.33
Sherbrooke,CA,143,22,15.38
Ojo de Agua,MX,139,12,8.63
BEAUMONT-PORT ARTHUR,US,137,10,7.3
Celaya,MX,137,15,10.95
BAKERSFIELD,US,134,12,8.96
,US,134,16,11.94
Durango,MX,132,7,5.3
YOUNGSTOWN,US,131,7,5.34
Vaughan,CA,130,18,13.85
North York,CA,129,11,8.53
TRAVERSE CITY-CADILLAC,US,128,10,7.81
Oaxaca,MX,128,8,6.25
Burlington,CA,126,13,10.32
North Vancouver,CA,123,21,17.07
GREAT FALLS,US,123,13,10.57
Kingston,CA,122,14,11.48
GAINESVILLE,US,122,13,10.66
AUGUSTA-AIKEN,US,121,8,6.61
MINOT-BSMRCK-DCKNSN(WLSTN),US,120,3,2.5
Regina,CA,120,9,7.5
EVANSVILLE,US,119,10,8.4
Tampico,MX,118,5,4.24
Scarborough,CA,117,13,11.11
MARQUETTE,US,116,5,4.31
Waterloo,CA,114,9,7.89
Barrie,CA,114,9,7.89
SAN ANGELO,US,114,10,8.77
Acapulco,MX,114,4,3.51
Guelph,CA,113,10,8.85
"JACKSON, MS",US,112,6,5.36
CHICO-REDDING,US,110,7,6.36
SIOUX CITY,US,108,5,4.63
WILMINGTON,US,108,9,8.33
BUTTE-BOZEMAN,US,106,11,10.38
WICHITA FALLS & LAWTON,US,106,7,6.6
Etobicoke,CA,105,10,9.52
Richmond,CA,103,15,14.56
CHEYENNE-SCOTTSBLUFF,US,103,9,8.74
