ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,SPOTIFY_FOLLOWER_COUNT,SPOTIFY_LISTENERS_COUNT,SPFOLDAY0,SPFOLDAY1,SPFOLDAY2,SPFOLDAY3,SPFOLDAY4,SPFOLDAY5,SPFOLDAY6,SPLISDAY0,SPLISDAY1,SPLISDAY2,SPLISDAY3,SPLISDAY4,SPLISDAY5,SPLISDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET,IG_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6
Roddy Ricch,Thailand,166121290,2021-12-16,2021-12-16T00:00:00.000Z,1219,,0,6,1,true,24,7188085,18372012,7188085,,,,,,,18372012,,,,,,,1219,,,,,,,5692765,6582940,6582940,,,,,,
Roddy Ricch,Don't I,166121291,2021-12-16,2021-12-16T00:00:00.000Z,736,,0,6,1,true,16,3676439,23583522,3676439,,,,,,,23583522,,,,,,,736,,,,,,,4260748,6582940,6582940,,,,,,
Roddy Ricch,Rollercoastin,166121292,2021-12-16,2021-12-16T00:00:00.000Z,989,,0,6,1,true,20,7188085,18372012,7188085,,,,,,,18372012,,,,,,,989,,,,,,,3786496,6582940,6582940,,,,,,
Roddy Ricch,Murda One,166121293,2021-12-16,2021-12-16T00:00:00.000Z,699,,0,6,1,true,10,718671,9627053,718671,,,,,,,9627053,,,,,,,699,,,,,,,3128457,6582940,6582940,,,,,,
Roddy Ricch,Everything U Need,166121294,2021-12-16,2021-12-16T00:00:00.000Z,649,,0,6,1,true,17,7188085,18372012,7188085,,,,,,,18372012,,,,,,,649,,,,,,,2773467,6582940,6582940,,,,,,
Roddy Ricch,25 Million,166121295,2021-12-16,2021-12-16T00:00:00.000Z,8394,0,0,6,1,true,27,7188085,18372012,7188085,,,,,,,18372012,,,,,,,8394,,,,,,,7195037,6582940,6582940,,,,,,
Roddy Ricch,Slow It Down,166121297,2021-12-16,2021-12-16T00:00:00.000Z,690,,0,6,1,true,13,85979,1587109,85979,,,,,,,1587109,,,,,,,690,,,,,,,2676834,112364,112364,,,,,,
Roddy Ricch,Bibi's Interlude,166121298,2021-12-16,2021-12-16T00:00:00.000Z,390,,0,6,1,true,9,7188085,18372012,7188085,,,,,,,18372012,,,,,,,390,,,,,,,1911407,6582940,6582940,,,,,,
Sidepiece,Sextacy,166121305,2022-01-20,2022-01-14T00:00:00.000Z,23491,8,6,6,1,true,53,27774,4927548,27774,27685,27596,27512,27412,27293,27218,4927548,4904403,4886185,4869109,4848836,4826849,4835166,23491,23866,23548,22224,21355,29836,33545,152216,26642,26642,26616,26561,26556,26501,26442,26401
Bennett (US),When It's Too Good,166121325,2022-01-06,2022-01-06T00:00:00.000Z,23,,0,6,1,true,3,6342,134562,6342,,,,,,,134562,,,,,,,23,,,,,,,59773,10113,10113,,,,,,
Ella Henderson,Track 3,166121412,2022-04-07,2022-04-01T00:00:00.000Z,15423,97305,6,6,1,true,19,1313963,9416852,1313963,11288,11272,1311385,1310511,1309616,1308793,9416852,5030679,5042994,9503235,9524701,9557966,9569899,15423,14883,14776,14519,12052,16430,19584,93937,478500,478500,16398,16405,478444,478427,478422,16409
Darkoo,Always,166121421,2022-02-24,2022-02-24T00:00:00.000Z,28601,0,0,6,1,true,49,56040,326709,56040,,,,,,,326709,,,,,,,28601,,,,,,,324274,541503,541503,,,,,,
David Byrne & Yo La Tengo,Who Has Seen The Wind?,166121651,2022-01-06,2022-01-05T00:00:00.000Z,9359,0,1,6,1,true,21,,,,,,,,,,,,,,,,,9359,9579,,,,,,98639,50402,50402,226184,,,,,
Death Cab For Cutie,Waiting For The Sunrise,166121653,2022-02-17,2022-02-15T00:00:00.000Z,11779,0,2,6,1,true,15,1346850,3167413,1346850,1346673,1346501,,,,,3167413,3152812,3147830,,,,,11779,16141,17035,,,,,126326,197378,197378,197377,197364,,,,
Japanese Breakfast,Nobody Sees Me Like You Do,166121661,2022-01-27,2022-01-26T00:00:00.000Z,23720,0,1,6,1,true,39,393233,1595410,393233,392648,,,,,,1595410,1600100,,,,,,23720,31145,,,,,,141809,252589,252589,252367,,,,,
Oliver Tree,Cowboys Don't Cry,166121664,2022-01-13,2022-01-12T00:00:00.000Z,256176,0,1,6,1,true,0,1755709,17148698,1755709,1753453,,,,,,17148698,17140063,,,,,,256176,103375,,,,,,1939997,1934723,1934723,1935569,,,,,
Knocks,Walking On Water,166121665,2022-01-20,2022-01-14T00:00:00.000Z,22030,35,6,6,1,true,43,158224,1047279,158224,178557,158086,158034,157960,157863,157813,1047279,5627878,994732,972827,939506,869813,868646,22030,22199,22716,20445,19896,31961,54142,88820,40540,40540,40544,40550,40959,40550,40922,40909
Royal & The Serpent,Phuckboi Rejects,166121666,2022-01-13,2022-01-07T00:00:00.000Z,33370,41,6,6,1,true,0,108773,3327634,108773,108432,108166,107878,107404,106984,106791,3327634,3319234,3314198,3312643,3305929,3289421,3300071,33370,32487,33325,31511,26380,34246,37867,148850,51369,51369,51229,51231,51050,51143,51138,51118
Sorana And David Guetta,Redrum,166121667,2022-01-20,2022-01-20T00:00:00.000Z,7025,0,0,6,1,true,39,4143,676284,4143,,,,,,,676284,,,,,,,7025,,,,,,,122828,8946977,8946977,,,,,,
Ogi,Bitter,166121669,2022-05-05,2022-05-05T00:00:00.000Z,2387,,0,6,1,true,40,4891,250068,4891,,,,,,,250068,,,,,,,2387,,,,,,,62660,17290,17290,,,,,,
Gucci Mane,Street Ni66a Christmas,166121671,2021-12-23,2021-12-17T00:00:00.000Z,117776,149,6,6,1,true,25,4094642,11554059,4094642,4093040,4091539,4090081,4088546,4086746,4085268,11554059,11539754,11530200,11528835,11518611,11513697,11538271,117776,107570,115890,118972,114934,151482,207781,494134,15319401,15319401,15311320,15307301,15302513,15297589,15293422,15291661
Gucci Mane,Da Beginning,166121672,2021-12-23,2021-12-17T00:00:00.000Z,68086,98,6,6,1,true,19,4094642,11554059,4094642,4093040,4091539,4090081,4088546,4086746,4085268,11554059,11539754,11530200,11528835,11518611,11513697,11538271,68086,67657,73092,76469,72282,100832,140467,270531,15319401,15319401,15311320,15307301,15302513,15297589,15293422,15291661
Enchanting,Nina Ross,166121673,2021-12-16,2021-12-16T00:00:00.000Z,82,,0,6,1,true,1,21030,240453,21030,,,,,,,240453,,,,,,,82,,,,,,,450624,812834,812834,,,,,,
Bigwalkdog,Motion,166121674,2021-12-16,2021-12-16T00:00:00.000Z,100,,0,6,1,true,0,33560,669470,33560,,,,,,,669470,,,,,,,100,,,,,,,703724,317975,317975,,,,,,
Gucci Mane,Nose Red,166121675,2021-12-23,2021-12-17T00:00:00.000Z,44869,66,6,6,1,true,17,4094642,11554059,4094642,4093040,4091539,4090081,4088546,4086746,4085268,11554059,11539754,11530200,11528835,11518611,11513697,11538271,44869,45676,49812,52689,48960,69932,96812,170795,15319401,15319401,15311320,15307301,15302513,15297589,15293422,15291661
Big Scarr,Megatron,166121676,2021-12-16,2021-12-16T00:00:00.000Z,80,,0,6,1,true,9,113090,908881,113090,,,,,,,908881,,,,,,,80,,,,,,,878885,703475,703475,,,,,,
Enchanting,Rehab (Feat. Hotboy Wes),166121677,2021-12-23,2021-12-17T00:00:00.000Z,32114,52,6,6,1,true,10,21399,287516,21399,21369,7586,21287,7485,7418,21094,287516,283123,284888,270840,275394,263419,238326,32114,32186,36178,38811,35549,50569,68799,122941,812782,812782,812912,812864,,812649,812518,
Bic Fizzle,On They Own (Feat. Hotboy Wes),166121678,2021-12-23,2021-12-17T00:00:00.000Z,48273,61,6,6,1,true,18,7690,288622,7690,2196,7586,2099,2040,7418,7377,288622,298328,284888,285584,274927,263419,265103,48273,48645,53324,55584,49830,67190,84644,203594,,,226505,,226363,,,225637
Hotboy Wes,On Em (Feat. Dj Chose),166121679,2021-12-23,2021-12-17T00:00:00.000Z,32904,52,6,6,1,true,11,38390,843441,38390,38362,7586,38308,7485,38248,7377,843441,846089,284888,851639,275394,859328,265103,32904,33647,37139,39006,34657,49159,63558,125597,213661,213661,,,,213698,213703,
Gucci Mane,All About The Hustle,166121680,2021-12-23,2021-12-17T00:00:00.000Z,50406,72,6,6,1,true,21,4094642,11554059,4094642,4093040,4091539,4090081,4088546,4086746,4085268,11554059,11539754,11530200,11528835,11518611,11513697,11538271,50406,50717,55385,56706,51855,71686,88528,209525,15319401,15319401,15311320,15307301,15302513,15297589,15293422,15291661
Hotboy Wes,Day 1,166121681,2021-12-16,2021-12-16T00:00:00.000Z,53,,0,6,1,true,1,7338,267624,7338,,,,,,,267624,,,,,,,53,,,,,,,303926,,,,,,,,
Gucci Mane,All I Want For Christmas,166121682,2021-12-23,2021-12-17T00:00:00.000Z,49048,57,6,6,1,true,20,4094642,11554059,4094642,4093040,4091539,4090081,4088546,4086746,4085268,11554059,11539754,11530200,11528835,11518611,11513697,11538271,49048,48198,51582,53198,49151,67158,84326,206122,15319401,15319401,15311320,15307301,15302513,15297589,15293422,15291661
Bigwalkdog,Son Of A Gun,166121683,2021-12-23,2021-12-17T00:00:00.000Z,59590,56,6,6,1,true,19,34840,687968,34840,34645,34462,34282,34083,33843,33648,687968,687720,686282,684739,678545,664198,666235,59590,59293,61150,62216,54657,70209,83317,274550,319960,319960,319663,319379,319180,318839,318845,318137
Gucci Mane,Like The Grinch,166121684,2021-12-23,2021-12-17T00:00:00.000Z,41301,60,6,6,1,true,18,4094642,11554059,4094642,4093040,4091539,4090081,4088546,4086746,4085268,11554059,11539754,11530200,11528835,11518611,11513697,11538271,41301,41636,45221,47412,43713,61015,77742,164883,15319401,15319401,15311320,15307301,15302513,15297589,15293422,15291661
Big Scarr,Anyway,166121685,2021-12-23,2021-12-17T00:00:00.000Z,59014,53,6,6,1,true,28,115702,930413,115702,115351,114974,114629,114243,113821,113436,930413,928864,925388,922546,915910,903533,906278,59014,60120,64069,67092,59406,77153,89200,265599,705755,705755,705338,704948,704625,704241,703938,703961
Bic Fizzle,Servin,166121686,2021-12-16,2021-12-16T00:00:00.000Z,44,,0,6,1,true,8,1939,260485,1939,,,,,,,260485,,,,,,,44,,,,,,,481301,225609,225609,,,,,,
Gucci Mane,Long Live Dolph,166121687,2021-12-23,2021-12-17T00:00:00.000Z,282337,8369,6,6,1,true,33,4094642,11554059,4094642,4093040,4091539,4090081,4088546,4086746,4085268,11554059,11539754,11530200,11528835,11518611,11513697,11538271,282337,283879,277153,232407,211364,305050,399843,1258499,15319401,15319401,15311320,15307301,15302513,15297589,15293422,15291661
Peter Raffoul,Cigarette Holes,166121688,2022-01-20,2022-01-14T00:00:00.000Z,1956,0,6,6,1,true,0,650,19276,650,639,637,635,608,518,514,19276,17558,15840,14106,12371,10695,10667,1956,1545,1456,1518,1237,1497,1415,7766,2992,2992,2993,2983,2970,3055,3037,2798
Royal & The Serpent,Better,166121689,2022-02-03,2022-01-28T00:00:00.000Z,18320,45,6,6,1,true,34,115229,3555774,115229,114980,114705,114444,114165,113822,113491,3555774,3555626,3545431,3540152,3521103,3508282,3505136,18320,18967,20918,22285,17962,22758,32337,91805,54952,54952,55020,54577,54395,54136,53843,53529
Royal & The Serpent,That Sux,166121690,2022-02-03,2022-01-28T00:00:00.000Z,5077,16,6,6,1,true,30,115229,3555774,115229,114980,114705,114444,114165,113822,113491,3555774,3555626,3545431,3540152,3521103,3508282,3505136,5077,5316,5873,5992,5111,6378,8280,28170,54952,54952,55020,54577,54395,54136,53843,53529
Royal & The Serpent,I Dont Even Like U,166121691,2022-02-03,2022-01-28T00:00:00.000Z,4552,18,6,6,1,true,29,115229,3555774,115229,114980,114705,114444,114165,113822,113491,3555774,3555626,3545431,3540152,3521103,3508282,3505136,4552,5109,5675,5746,4672,6117,7741,26759,54952,54952,55020,54577,54395,54136,53843,53529
Royal & The Serpent,Alt B!Tch Poser,166121692,2022-02-03,2022-01-28T00:00:00.000Z,3867,12,6,6,1,true,28,115229,3555774,115229,114980,114705,114444,114165,113822,113491,3555774,3555626,3545431,3540152,3521103,3508282,3505136,3867,4309,4620,4980,4164,5145,6749,20916,54952,54952,55020,54577,54395,54136,53843,53529
Noa Kirel,Thought About That,166121693,2022-01-13,2022-01-12T00:00:00.000Z,3549,,1,6,1,true,35,270811,610380,270811,270632,,,,,,610380,612284,,,,,,3549,2061,,,,,,199074,1231418,1231418,1231295,,,,,
Charlie Puth,Light Switch,166601443,2022-01-20,2022-01-19T00:00:00.000Z,740245,4756,1,6,1,true,27,14990774,23200502,14990774,14981273,,,,,,23200502,23173495,,,,,,740245,963,,,,,,7121202,15524490,15524490,15522823,,,,,
Mason Dane,Pretty Pearl (Feat. Baby Princ,166622372,2022-01-13,2022-01-13T00:00:00.000Z,4936,,0,6,1,true,15,570,1773,570,,,,,,,1773,,,,,,,4936,,,,,,,35734,3290,3290,,,,,,
Ella Henderson,Emotions,166622443,2022-03-03,2022-02-25T00:00:00.000Z,0,,6,6,1,true,31,1282005,9708447,1282005,1281365,1280757,1280176,1279612,,,9708447,9729384,9748729,9779475,9822897,,,0,0,0,0,0,,,8,475356,475356,475383,475420,475412,475441,,
Ella Henderson,What About Us,166622444,2022-03-03,2022-02-25T00:00:00.000Z,0,,6,6,1,true,27,1282005,9708447,1282005,1281365,1280757,1280176,1279612,,,9708447,9729384,9748729,9779475,9822897,,,0,0,0,0,0,,,7,475356,475356,475383,475420,475412,475441,,
Ella Henderson,Ugly,166622445,2022-03-03,2022-02-25T00:00:00.000Z,0,,6,6,1,true,36,1282005,9708447,1282005,1281365,1280757,1280176,1279612,,,9708447,9729384,9748729,9779475,9822897,,,0,0,0,0,0,,,31,475356,475356,475383,475420,475412,475441,,
Ella Henderson,Out My Head,166622446,2022-03-03,2022-02-25T00:00:00.000Z,0,,6,6,1,true,20,1282005,9708447,1282005,1281365,1280757,1280176,1279612,,,9708447,9729384,9748729,9779475,9822897,,,0,0,0,0,0,,,6,475356,475356,475383,475420,475412,475441,,
Ella Henderson,Thank You For The Hell,166622447,2022-03-03,2022-02-25T00:00:00.000Z,0,,6,6,1,true,25,1282005,9708447,1282005,1281365,1280757,1280176,1279612,,,9708447,9729384,9748729,9779475,9822897,,,0,0,0,0,0,,,4,475356,475356,475383,475420,475412,475441,,
Ella Henderson,Everything I Didn’t Say,166622448,2022-03-03,2022-02-25T00:00:00.000Z,20,,6,6,1,true,27,1282005,9708447,1282005,1281365,1280757,1280176,1279612,1279099,1278578,9708447,9729384,9748729,9779475,9822897,9878331,9914796,20,0,0,0,0,0,0,39591,475356,475356,475383,475420,475412,475441,475407,475377
Ella Henderson,Bad News,166622449,2022-03-03,2022-02-25T00:00:00.000Z,0,,6,6,1,true,19,1282005,9708447,1282005,1281365,1280757,1280176,1279612,,,9708447,9729384,9748729,9779475,9822897,,,0,0,0,0,0,,,5,475356,475356,475383,475420,475412,475441,,
Ella Henderson,Cry On Me (Feat. Mikky Ekko),166622450,2022-03-03,2022-02-25T00:00:00.000Z,0,,6,6,1,true,19,1282005,9708447,1282005,125333,1280757,1280176,1279612,,,9708447,369819,9748729,9779475,9822897,,,0,0,0,0,0,,,4,475356,475356,30146,475420,30131,475441,,
Ella Henderson,Northern Lights,166622451,2022-03-03,2022-02-25T00:00:00.000Z,0,,6,6,1,true,19,1282005,9708447,1282005,1281365,1280757,1280176,1279612,,,9708447,9729384,9748729,9779475,9822897,,,0,0,0,0,0,,,5,475356,475356,475383,475420,475412,475441,,
Ella Henderson,Set In Stone,166622452,2022-03-03,2022-02-25T00:00:00.000Z,0,,6,6,1,true,25,1282005,9708447,1282005,1281365,1280757,1280176,1279612,,,9708447,9729384,9748729,9779475,9822897,,,0,0,0,0,0,,,5,475356,475356,475383,475420,475412,475441,,
Ella Henderson,Places,166622453,2022-03-03,2022-02-25T00:00:00.000Z,0,,6,6,1,true,23,1282005,9708447,1282005,1281365,1280757,1280176,1279612,,,9708447,9729384,9748729,9779475,9822897,,,0,0,0,0,0,,,4,475356,475356,475383,475420,475412,475441,,
Brett Eldredge,Want That Back,166622729,2022-01-20,2022-01-14T00:00:00.000Z,149341,251,6,6,1,true,33,1343627,11271829,1343627,1343295,1343024,1342758,1342430,1342046,1341752,11271829,11702028,12070669,12569335,13037116,13354899,13695266,149341,153347,157381,150778,133348,181778,239194,680804,1459516,1459516,1459613,1459646,1459561,1459629,1459814,1459924
Central Cee,Daily Duppy (Feat. Grm Daily),166623416,2021-12-30,2021-12-25T00:00:00.000Z,11059,0,5,6,1,true,59,571619,6739694,571619,647962,565307,646202,644753,644246,,6739694,1385273,6715948,1291090,1287472,1291741,,11059,10319,11183,10252,6824,939,,76338,2304655,2304655,2303882,2302741,2301869,2300314,2160163,
YoungBoy Never Broke Again,Emo Rockstar,166985287,2022-01-20,2022-01-14T00:00:00.000Z,449199,58905,6,6,1,true,0,8099326,14935043,8099326,8094408,8089216,8083953,8078178,8071919,8066227,14935043,14897112,14859102,14826197,14769702,14699201,14711413,449199,423836,429365,367771,335191,393947,504741,4220499,10396193,10396193,10396090,10395988,10395886,10395783,10395681,10395578
Flo Rida,Wait,167087800,2022-01-06,2021-12-31T00:00:00.000Z,74787,78,6,6,1,true,1,8363323,21525093,8363323,8361809,8360302,8358864,8357396,8355785,8354183,21525093,21411605,21269333,21129234,20989134,20195249,20081041,74787,71407,77596,76089,63337,64476,100592,285403,847093,847093,847176,847186,847242,847284,847289,847492
Youngboy Never Broke Again Feat. Jaz,Poppin Shit,167371228,2022-09-08,2022-09-06T00:00:00.000Z,504382,0,2,6,1,true,9,9495164,16630623,9495164,9488828,771624,,,,,16630623,16781628,1103403,,,,,504382,183431,6326,,,,,2557710,10637934,10637934,10637934,10637934,,,,
YoungBoy Never Broke Again,2hoo,167372336,2022-01-20,2022-01-20T00:00:00.000Z,2147,14683,0,6,1,true,16,8099326,14935043,8099326,,,,,,,14935043,,,,,,,2147,,,,,,,5521344,10396193,10396193,,,,,,
YoungBoy Never Broke Again,Fish Scale,167481146,2022-01-20,2022-01-14T00:00:00.000Z,860207,624581,6,6,1,true,0,1104,177464,1104,8094408,1,8083953,8078178,0,0,177464,14897112,,14826197,14769702,,,860207,834782,828036,677109,630502,768908,926738,6971132,10396193,10396193,10396090,10395988,10395886,10395783,10395681,10395578
Gayle,Ur Just Horny,167549375,2022-01-20,2022-01-18T00:00:00.000Z,78122,0,2,6,1,true,16,219152,35631180,219152,216448,213660,,,,,35631180,35568554,35465702,,,,,78122,23458,0,,,,,1178531,178984,178984,177471,176215,,,,
PinkPantheress,Last Valentines (Wondagurl Rem,167549396,2022-02-03,2022-01-28T00:00:00.000Z,6172,13,6,6,1,true,33,,,,,,976724,974258,,,,,,6218863,6174574,,,6172,6806,8048,8828,8053,10689,13002,26100,,,,,668907,667812,666375,
Oliver Tree,Doormat,167549430,2022-02-24,2022-02-18T00:00:00.000Z,52901,254,6,6,1,true,33,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,52901,58593,63654,70879,69121,97424,132045,247015,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
Oliver Tree,Playing With Fire,167549431,2022-02-24,2022-02-18T00:00:00.000Z,46711,199,6,6,1,true,37,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,46711,51702,56472,61738,59362,80887,101160,220298,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
Niko Rubio,Hold Me Down,167549432,2022-01-20,2022-01-14T00:00:00.000Z,9045,8,6,6,1,true,14,3244,73495,3244,3212,3191,3177,3161,3131,3130,73495,66356,59347,53998,48648,40435,39891,9045,8575,8367,7337,6519,8474,11225,30751,9760,9760,9753,9747,9734,9720,9707,9693
Oliver Tree,Balloon Boy,167549470,2022-02-24,2022-02-18T00:00:00.000Z,50151,224,6,6,1,true,36,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,50151,54944,59626,66696,65126,91049,119499,233892,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
PinkPantheress,I Must Apologise (Tommy Gold R,167549483,2022-02-03,2022-01-28T00:00:00.000Z,5136,12,6,6,1,true,29,,,,981500,979189,976724,,,,,6247217,6233040,6218863,,,,5136,5472,6520,7205,6648,8839,10923,19909,9146,9146,9149,9141,668907,667812,666375,9101
Oliver Tree,Cigarettes,167549507,2022-02-24,2022-02-18T00:00:00.000Z,63901,285,6,6,1,true,43,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,63901,70667,76638,83261,79918,108793,135668,320495,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
Goodboys,Black & Blue,167549514,2022-02-03,2022-01-28T00:00:00.000Z,6947,4,6,6,1,true,40,32192,12291818,32192,32155,32125,32077,32038,31959,31927,12291818,12274445,12281169,12287426,12366721,12759182,12816391,6947,6946,7276,6751,6101,7159,6918,54435,29494,29494,29422,29404,29377,29360,29305,29298
Oliver Tree,California,167549537,2022-02-24,2022-02-18T00:00:00.000Z,37151,179,6,6,1,true,32,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,37151,41721,45305,50760,49559,71434,95571,164123,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
Oliver Tree,The Villain,167549538,2022-02-24,2022-02-18T00:00:00.000Z,37570,190,6,6,1,true,33,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,37570,41758,46576,51203,48639,68298,89273,170742,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
Oliver Tree,Cowboy Tears,167549539,2022-02-24,2022-02-18T00:00:00.000Z,44221,193,6,6,1,true,37,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,44221,49021,53625,58145,55743,77167,94423,209892,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
PinkPantheress,All My Friends Know (Fkj Remix,167549545,2022-02-03,2022-01-28T00:00:00.000Z,5204,21,6,6,1,true,31,1072150,4884180,1072150,1071691,1071183,976724,974258,967030,1069045,4884180,4881443,4881759,6218863,6174574,6134876,4899792,5204,5671,6503,7079,6103,8289,8995,25895,589886,589886,589900,669899,668907,589722,589611,589531
Oliver Tree,Swing & A Miss,167549566,2022-02-24,2022-02-18T00:00:00.000Z,128981,354,6,6,1,true,44,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,128981,141548,152664,159142,147028,205614,327109,498211,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
Oliver Tree,Get Well Soon,167549570,2022-02-24,2022-02-18T00:00:00.000Z,58059,255,6,6,1,true,38,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,58059,65175,72219,77115,71998,96720,125707,274213,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
Oliver Tree,Suitcase Full Of Cash,167549571,2022-02-24,2022-02-18T00:00:00.000Z,50194,231,6,6,1,true,34,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,50194,55918,60662,67017,64854,91569,122898,235521,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
Oliver Tree,Things We Used To Do,167549600,2022-02-24,2022-02-18T00:00:00.000Z,51960,213,6,6,1,true,39,1821190,13808019,1821190,1819999,1818743,1817224,1815461,1813335,1812090,13808019,13857386,13900517,13940822,13958689,13924117,14032816,51960,57830,62913,68096,65339,91111,117814,249424,1934936,1934936,1935319,1935433,1935439,1935400,1937154,1938161
Wallows,Especially You,167549645,2022-02-03,2022-02-03T00:00:00.000Z,80802,0,0,6,1,true,35,2179514,7682364,2179514,,,,,,,7682364,,,,,,,80802,,,,,,,606050,1623451,1623451,,,,,,
Gabby Start,The Fractal Song,167549647,2022-01-27,2022-01-26T00:00:00.000Z,2249,,1,6,1,true,23,1403,8682,1403,1237,,,,,,8682,8664,,,,,,2249,3836,,,,,,25256,3923,3923,3895,,,,,
PinkPantheress,All My Friends Know (Anz Remix,167549667,2022-02-03,2022-01-28T00:00:00.000Z,19151,13,6,6,1,true,32,10436,478389,10436,981500,10383,10352,974258,967030,965605,478389,6247217,441501,423486,6174574,6134876,6134885,19151,19646,22549,22390,21300,28901,43144,79576,,,,,668907,667812,666375,
Shinedown,Planet Zero,167549704,2022-01-27,2022-01-26T00:00:00.000Z,188757,0,1,6,1,true,0,3278731,4870394,3278731,3277493,,,,,,4870394,4850264,,,,,,188757,133287,,,,,,1010552,619494,619494,619418,,,,,
FKA Twigs,Ride The Dragon,167549822,2022-01-20,2022-01-14T00:00:00.000Z,97115,208,6,6,1,true,29,956139,7293071,956139,954377,952345,950120,947268,942732,941596,7293071,7391712,7489404,7583120,7690952,7836998,7801904,97115,106214,107325,104016,107593,141165,187791,471437,2225229,2225229,2222381,2218649,2214649,2215319,2203751,2202629
FKA Twigs,Meta Angel,167549824,2022-01-20,2022-01-14T00:00:00.000Z,85372,133,6,6,1,true,25,956139,7293071,956139,954377,952345,950120,947268,942732,941596,7293071,7391712,7489404,7583120,7690952,7836998,7801904,85372,91865,89399,86732,89680,115090,144677,397785,2225229,2225229,2222381,2218649,2214649,2215319,2203751,2202629
FKA Twigs,Oh My Love,167549825,2022-01-20,2022-01-14T00:00:00.000Z,94257,118,6,6,1,true,51,956139,7293071,956139,954377,952345,950120,947268,942732,941596,7293071,7391712,7489404,7583120,7690952,7836998,7801904,94257,99853,99001,93966,96917,120106,142210,460395,2225229,2225229,2222381,2218649,2214649,2215319,2203751,2202629
FKA Twigs,Pamplemousse,167549826,2022-01-20,2022-01-14T00:00:00.000Z,56750,111,6,6,1,true,41,956139,7293071,956139,954377,952345,950120,947268,942732,941596,7293071,7391712,7489404,7583120,7690952,7836998,7801904,56750,62911,63840,61713,65949,86902,113368,248900,2225229,2225229,2222381,2218649,2214649,2215319,2203751,2202629
FKA Twigs,Lightbeamers,167549828,2022-01-20,2022-01-14T00:00:00.000Z,60190,106,6,6,1,true,39,956139,7293071,956139,954377,952345,950120,947268,942732,941596,7293071,7391712,7489404,7583120,7690952,7836998,7801904,60190,66115,66822,64292,68443,87829,109412,270380,2225229,2225229,2222381,2218649,2214649,2215319,2203751,2202629
FKA Twigs,Jealousy (Feat. Rema),167549831,2022-01-13,2022-01-13T00:00:00.000Z,55454,0,0,6,1,true,10,395020,2798590,395020,,,,,,,2798590,,,,,,,55454,,,,,,,1434384,2201900,2201900,,,,,,
FKA Twigs,Minds Of Men,167549833,2022-01-20,2022-01-14T00:00:00.000Z,43212,84,6,6,1,true,19,956139,7293071,956139,954377,952345,950120,947268,942732,941596,7293071,7391712,7489404,7583120,7690952,7836998,7801904,43212,47499,48938,47745,50438,65955,82511,191174,2225229,2225229,2222381,2218649,2214649,2215319,2203751,2202629
FKA Twigs,Track Girl Interlude,167549834,2022-01-20,2022-01-14T00:00:00.000Z,31964,69,6,6,1,true,33,956139,7293071,956139,954377,952345,950120,947268,942732,941596,7293071,7391712,7489404,7583120,7690952,7836998,7801904,31964,35193,36554,36054,38982,51655,67007,135971,2225229,2225229,2222381,2218649,2214649,2215319,2203751,2202629
