ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,SPOTIFY_FOLLOWER_COUNT,SPOTIFY_LISTENERS_COUNT,SPFOLDAY0,SPFOLDAY1,SPFOLDAY2,SPFOLDAY3,SPFOLDAY4,SPFOLDAY5,SPFOLDAY6,SPLISDAY0,SPLISDAY1,SPLISDAY2,SPLISDAY3,SPLISDAY4,SPLISDAY5,SPLISDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET,IG_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6
Bic Fizzle,Product Of The Trenches,195496920,2023-01-26,2023-01-26T00:00:00.000Z,2,,0,6,1,true,0,31769,459389,31769,,,,,,,459389,,,,,,,2,,,,,,,62513,291698,291698,,,,,,
Bic Fizzle,I See You,195496921,2023-01-26,2023-01-26T00:00:00.000Z,4,,0,6,1,true,0,31769,459389,31769,,,,,,,459389,,,,,,,4,,,,,,,63265,291698,291698,,,,,,
Bic Fizzle,Can'T Go Broke,195496922,2023-01-26,2023-01-26T00:00:00.000Z,4,,0,6,1,true,1,31769,459389,31769,,,,,,,459389,,,,,,,4,,,,,,,79899,291698,291698,,,,,,
Bic Fizzle,Outro,195496923,2023-01-26,2023-01-26T00:00:00.000Z,3,,0,6,1,true,0,31769,459389,31769,,,,,,,459389,,,,,,,3,,,,,,,54832,291698,291698,,,,,,
Rowan Drake,Elephant In The Room,195496924,2023-02-02,2023-01-27T00:00:00.000Z,29017,193,6,6,1,true,0,44154,425793,44154,44097,44029,43945,43838,43466,43115,425793,418666,409832,400620,388501,372046,369502,29017,29509,33061,40290,37798,47345,50442,239519,29940,29940,29919,29912,29935,29915,29842,29704
Fred Again.. & Dermot Kennedy,Berwyn (Kennington Tube),195497013,2023-02-02,2023-01-27T00:00:00.000Z,7702,15,6,6,1,true,34,545120,15933402,545120,1265095,542054,540239,537956,1262466,534502,15933402,14496176,15776697,15737341,15815794,14493363,15568685,7702,8739,9568,11057,8556,10405,11317,37285,986918,986918,980748,978268,,,965805,962383
Lainey Wilson,Middle Finger (Spotify Singles,195498619,2022-12-29,2022-12-28T00:00:00.000Z,10549,,1,6,1,true,44,121867,4533610,121867,120261,,,,,,4533610,4480999,,,,,,10549,11337,,,,,,137711,630969,630969,604714,,,,,
Lainey Wilson,"Rock And Roll, Hoochie Koo (Sp",195498620,2022-12-29,2022-12-28T00:00:00.000Z,8715,,1,6,1,true,46,121867,4533610,121867,120261,,,,,,4533610,4480999,,,,,,8715,9578,,,,,,180805,630969,630969,604714,,,,,
"Skrillex, Pinkpantheress & Tri",Way Back Home,195498821,2023-01-05,2023-01-03T00:00:00.000Z,286,,2,6,1,true,44,1480045,12604830,1480045,8249365,1472827,,,,,12604830,17860657,12385794,,,,,286,4,0,,,,,1702621,13691640,13691640,10994735,10969745,,,,
KSI,Voices (Feat. Oliver Tree),196749819,2023-02-02,2023-01-27T00:00:00.000Z,143968,14697,6,6,1,true,51,2142242,36217916,2142242,2140510,2525075,2524512,2133770,2522551,2126761,36217916,36205029,4844259,4684376,36371544,4349511,36273383,143968,145131,156109,164788,142599,166695,194697,982402,12561478,12561478,1991992,1991792,1991133,1990429,12546171,1989763
