ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,IG_FOLLOWER_COUNT,TT_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6,TTFOLDAY0,TTFOLDAY1,TTFOLDAY2,TTFOLDAY3,TTFOLDAY4,TTFOLDAY5,TTFOLDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET
Trey Songz,Find a Place,31007403,2020-04-30,2020-04-24T00:00:00.000Z,32425,574,6,6,1,true,28,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,32425,31560,33977,33350,33478,40544,48965,95962
Trey Songz,Famous [explicit],31019690,2020-04-30,2020-04-24T00:00:00.000Z,5576,114,6,6,1,true,22,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,5576,5534,6837,7182,7662,12698,23448,23415
Trey Songz,French Kiss,31029615,2020-04-30,2020-04-24T00:00:00.000Z,7873,208,6,6,1,true,26,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,7873,7964,9123,9454,9620,13738,22028,33958
Trey Songz,Don't Judge,31034691,2020-04-30,2020-04-24T00:00:00.000Z,9512,326,6,6,1,true,28,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,9512,9803,11440,11905,12435,17765,28930,40774
Trey Songz,Good Feelings,31061549,2020-04-30,2020-04-24T00:00:00.000Z,7809,254,6,6,1,true,23,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,7809,7963,9090,9506,9908,14012,22264,33295
Trey Songz,Girl at Home,31077380,2020-04-30,2020-04-24T00:00:00.000Z,6588,230,6,6,1,true,23,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,6588,6873,7775,7922,8403,11703,18873,27148
Trey Songz,Inside Pt. 2,31211084,2020-04-30,2020-04-24T00:00:00.000Z,10923,334,6,6,1,true,32,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,10923,11118,13010,13214,13798,20124,32828,47668
Trey Songz,Infidelity,31261623,2020-04-30,2020-04-24T00:00:00.000Z,5373,96,6,6,1,true,18,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,5373,5442,6888,6859,7335,11566,20673,23379
Trey Songz,It Would Be You,31275251,2020-04-30,2020-04-24T00:00:00.000Z,9813,173,6,6,1,true,31,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,9813,9971,11294,11283,11522,15931,25883,52898
Trey Songz,She Ain'T My Gurl [explicit],31548368,2020-04-30,2020-04-24T00:00:00.000Z,6365,123,6,6,1,true,29,,,,11923300,,,616844,11911906,11907763,,,,,,,,6365,6241,7474,7607,7880,11894,20665,31535
Trey Songz,Still Scratchin Me Up,31695108,2020-04-30,2020-04-24T00:00:00.000Z,11643,419,6,6,1,true,27,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,11643,11978,13272,13771,13942,18857,30440,52447
Trey Songz,When We Make Love,31825022,2020-04-30,2020-04-24T00:00:00.000Z,8701,383,6,6,1,true,26,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,8701,8944,10147,10754,11093,15727,26792,36313
Trey Songz,More Than That,31978347,2020-04-30,2020-04-24T00:00:00.000Z,6907,112,6,6,1,true,25,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,6907,6849,8153,8106,8720,12706,21272,33559
Kevin Gates,Shit,32009232,2021-02-25,2021-02-19T00:00:00.000Z,175831,371,6,6,1,true,28,8985452,889300,8985452,8985452,8985452,8985452,8985452,8985452,8985452,889300,888423,887343,886120,884492,882771,880684,175831,193365,205052,227804,211582,296236,334509,867011
Laura Mvula,Show Me Love,33846674,2021-02-25,2021-02-25T00:00:00.000Z,1249,7816,0,6,1,true,5,60138,,60138,,,,,,,,,,,,,,1249,,,,,,,8853
Pleasure P,Under,36089068,2020-04-16,2020-04-14T00:00:00.000Z,13119,86384,2,6,1,true,0,,,,,,,,,,,,,,,,,13119,13093,12818,,,,,91505
Stone Temple Pilots,Adhesive,37630469,2021-07-29,2021-07-23T00:00:00.000Z,1943,8437,6,6,1,true,22,171249,,171249,171151,171045,170941,170761,170682,170690,,,,,,,,1943,1987,2044,2089,2064,2621,2340,9838
Trey Songz,On Top,37694445,2020-04-30,2020-04-24T00:00:00.000Z,14829,1482,6,6,1,true,34,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,14829,14811,16690,16689,16821,21764,32586,81823
Hunter Hayes,All You Ever,37727883,2022-07-21,2022-07-15T00:00:00.000Z,2364,16616,6,6,1,true,8,678922,302567,678922,678948,678902,678902,678884,678908,678899,302567,302519,302397,302326,302245,302038,301656,2364,2435,2481,2362,2063,2261,2367,15922
Alanis Morissette,Underneath,37957656,2020-04-09,2020-04-03T00:00:00.000Z,894,6049,6,6,1,true,0,557630,,557630,557969,556060,555639,51825,554617,554183,,,,,,,,894,936,968,863,802,999,911,5979
Roberta Flack,Compared To What,37960319,2021-03-04,2021-02-26T00:00:00.000Z,1635,11201,6,6,1,true,16,,,,,,,,,,,,,,,,,1635,1602,1561,1575,1758,2010,1665,11535
Stone Temple Pilots,AND SO I KNOW,38000025,2021-07-29,2021-07-23T00:00:00.000Z,2326,9728,6,6,1,true,15,171249,,171249,171151,171045,170941,170761,170682,170690,,,,,,,,2326,2536,2609,2942,2925,3671,3306,13398
P.O.D.,Anything Right (Feat. Christia,38036847,2021-09-09,2021-09-03T00:00:00.000Z,1087,5877,6,6,1,true,14,,,,,,,,,,,,,,,,,1087,1061,957,818,893,867,1114,6710
Trey Songz,Scratchin' Me Up [explicit],38547729,2020-04-30,2020-04-24T00:00:00.000Z,16146,45204,6,6,1,true,31,11920712,,11920712,11923300,11922252,11918863,11915121,11911906,11907763,,,,,,,,16146,15537,17134,17449,17384,22211,32986,92574
En Vogue,WHATEVER,38704989,2019-07-18,2019-07-12T00:00:00.000Z,700,4266,6,6,1,true,6,64911,,64911,64840,64774,64803,64652,64613,64524,,,,,,,,700,677,680,609,544,665,653,4730
Aretha Franklin,Accentuate the Positive,39336628,2023-05-11,2023-05-08T00:00:00.000Z,18461,138414,3,6,1,true,21,211078,,211078,211014,210919,210850,,,,,,,,,,,18461,17770,18051,18133,,,,132599
Gucci Mane,Superstar,52912686,2019-06-27,2019-06-21T00:00:00.000Z,113680,202,6,6,1,true,0,11622310,,11622310,11614112,11605913,11598454,11589778,11591017,11569150,,,,,,,,113680,118769,134592,153169,146663,218435,298415,460836
Kehlani,How We Do Us,57238670,2021-08-26,2021-08-26T00:00:00.000Z,22200,669,0,6,1,true,25,13142234,2609600,13142234,,,,,,,2609600,,,,,,,22200,,,,,,,179509
Rare Occasions,NOTION,57841048,2021-12-02,2021-12-02T00:00:00.000Z,506514,3982543,0,6,1,true,81,16292,45304,16292,,,,,,,45304,,,,,,,506514,,,,,,,3238943
Kaleo,ROCK N' ROLLER,58093211,2024-06-13,2024-06-07T00:00:00.000Z,48956,300,6,6,1,true,59,390174,38553,390174,389977,389658,389339,388721,388255,387900,38553,38513,38459,38398,38347,38297,38262,48956,44058,43822,46919,38920,46592,72901,195546
M2M,Mirror Mirror,59047524,2020-03-26,2020-03-20T00:00:00.000Z,1023,7108,6,6,1,true,2,,,,,,,,,,,,,,,,,1023,1046,1021,986,898,979,1023,7366
Foy Vance,Make It Rain,70820436,2019-07-04,2019-06-28T00:00:00.000Z,1476,6940,6,6,1,true,47,43548,,43548,43531,43491,43503,43416,43345,43339,,,,,,,,1476,1834,1818,1890,1717,2099,2631,9895
Ingrid Andress,The Stranger,72500903,2020-04-02,2020-03-27T00:00:00.000Z,168627,267,6,6,1,true,41,47679,,47679,46138,45567,44866,43759,43759,42029,,,,,,,,168627,173467,172762,174021,172920,199830,231615,862473
Kaleo,I Walk On Water,74032671,2021-04-29,2021-04-23T00:00:00.000Z,16789,56,6,6,1,true,42,306280,,306280,305791,305255,304605,303545,302386,302362,,,,,,,,16789,19435,20059,22565,20974,30194,45681,67137
JoJo,Demonstrate,74596777,2018-12-27,2018-12-21T00:00:00.000Z,7001,,6,6,1,true,22,,,,,,,,,,,,,,,,,7001,7069,5467,8801,11045,,,35656
Icona Pop,I Love It (Style Of Eye Remix),74847680,2022-06-09,2022-06-03T00:00:00.000Z,4020,3601,6,6,1,true,20,227699,35671,227699,4157794,4157793,227610,4151691,227550,227538,35671,1600000,1600000,35467,1600000,35297,35271,4020,4352,4726,5618,4428,5315,11239,41938
Jason Derulo X Puri X Jhorrmountain Or Adje,Cono,87306700,2020-07-02,2020-07-02T00:00:00.000Z,44470,280909,0,6,1,true,26,,,,,,,,,,,,,,,,,44470,,,,,,,2191782
That Kind,Dreams,87996084,2020-11-05,2020-10-30T00:00:00.000Z,4950,0,6,6,1,true,38,1634,,1634,1631,1622,1622,1610,1604,1605,,,,,,,,4950,4360,4305,2052,1594,1730,1234,36943
Burna Boy,Outside,88715857,2022-06-23,2022-06-17T00:00:00.000Z,976,,6,6,1,true,0,1014723,1200000,1014723,1014737,1014762,1014717,,,,1200000,1200000,1200000,1200000,,,,976,881,933,847,,,,6441
Billie Eilish,What Was I Made For? [From The Motion Picture 'Barbie'],90114473,2023-07-13,2023-07-13T00:00:00.000Z,926489,0,0,6,1,true,87,109548983,47968613,109548983,,,,,,,47968613,,,,,,,926489,,,,,,,9688495
Eartha Kitt,Santa Baby,90381353,2023-09-21,2023-09-19T00:00:00.000Z,25384,170423,2,6,1,true,0,,,,,,,,,,,,,,,,,25384,25555,26011,,,,,200918
Kehlani,Tell Your Mama,90470339,2021-08-26,2021-08-26T00:00:00.000Z,17390,316,0,6,1,true,24,13142234,2609600,13142234,,,,,,,2609600,,,,,,,17390,,,,,,,126182
Kehlani,As I Am,90470968,2021-08-26,2021-08-26T00:00:00.000Z,29555,955,0,6,1,true,32,13142234,2609600,13142234,,,,,,,2609600,,,,,,,29555,,,,,,,232034
Kehlani,Get Away,90470969,2021-08-26,2021-08-26T00:00:00.000Z,32957,4228,0,6,1,true,37,13142234,2609600,13142234,,,,,,,2609600,,,,,,,32957,,,,,,,252586
Kehlani,Deserve Better,90470970,2021-08-26,2021-08-26T00:00:00.000Z,25127,887,0,6,1,true,30,13142234,2609600,13142234,,,,,,,2609600,,,,,,,25127,,,,,,,191194
Kehlani,1st Position,90470971,2021-08-26,2021-08-26T00:00:00.000Z,31792,6462,0,6,1,true,38,13142234,2609600,13142234,,,,,,,2609600,,,,,,,31792,,,,,,,219281
Lil Uzi Vert,Of Course,92318737,2023-06-29,2023-06-29T00:00:00.000Z,2873,,0,6,1,true,15,16993404,2300000,16993404,,,,,,,2300000,,,,,,,2873,,,,,,,4511366
Wiz Khalifa,Change Up,92357165,2023-03-02,2023-02-24T00:00:00.000Z,10640,8,6,6,1,true,23,39823790,5100000,39823790,39816885,39809980,39803075,39796171,39789266,39782361,5100000,5100000,5100000,5100000,5100000,5100000,5100000,10640,11786,13572,13275,9516,13300,16771,30738
Young Thug,Sake Of My Kids (In It For Love),92365300,2023-06-29,2023-06-25T00:00:00.000Z,148354,0,4,6,1,true,21,9647428,1300000,9647428,9645947,9639923,9637226,9630153,,,1300000,1300000,1300000,1300000,1300000,,,148354,158751,223773,132,0,,,532984
Rudimental,1x1 (Feat. Maleek Berry & Raye,92426709,2019-01-31,2019-01-25T00:00:00.000Z,4912,5,6,6,1,true,21,1048719,,1048719,1048763,1048807,170401,170447,1048746,209521,,,,,,,,4912,3977,4850,5693,4973,6896,7544,18191
Rudimental,Scared Of Love,92426712,2019-01-17,2019-01-11T00:00:00.000Z,26641,46,6,6,1,true,0,208295,,208295,73611,207955,1271828,207623,207485,207362,,,,,,,,26641,25997,27464,26679,19689,29828,49969,125626
Wiz Khalifa,Flickin Ashes,92573928,2023-03-02,2023-02-24T00:00:00.000Z,6078,9,6,6,1,true,27,39823790,5100000,39823790,39816885,39809980,39803075,39796171,39789266,39782361,5100000,5100000,5100000,5100000,5100000,5100000,5100000,6078,7261,8053,8355,6400,8414,9575,24537
Wiz Khalifa,Feels Good,92573932,2023-03-02,2023-02-24T00:00:00.000Z,25011,21,6,6,1,true,32,39823790,5100000,39823790,39816885,39809980,39803075,39796171,39789266,39782361,5100000,5100000,5100000,5100000,5100000,5100000,5100000,25011,27090,30147,28297,20704,26097,37074,85130
Wiz Khalifa,Like A Star,92582076,2023-03-02,2023-02-24T00:00:00.000Z,26249,16,6,6,1,true,27,39823790,5100000,39823790,39816885,39809980,39803075,39796171,39789266,39782361,5100000,5100000,5100000,5100000,5100000,5100000,5100000,26249,27064,28782,26789,22269,31979,53549,56498
Wiz Khalifa,Take A Ride,92589996,2023-03-02,2023-02-24T00:00:00.000Z,6417,1,6,6,1,true,22,39823790,5100000,39823790,39816885,39809980,39803075,39796171,39789266,39782361,5100000,5100000,5100000,5100000,5100000,5100000,5100000,6417,7024,7644,7461,5636,7137,9344,24598
Death Cab For Cutie,When We Drive,92795517,2019-06-13,2019-06-07T00:00:00.000Z,28419,40065,6,6,1,true,19,152095,,152095,151999,151989,151815,151742,151682,151658,,,,,,,,28419,30706,34298,36674,23547,34464,63234,145670
Death Cab For Cutie,Northern Lights,92795519,2019-02-21,2019-02-15T00:00:00.000Z,46399,192197,6,6,1,true,22,142353,,142353,142240,142158,142069,141958,141857,141747,,,,,,,,46399,46705,45048,42023,33925,44571,69692,274227
Death Cab For Cutie,I Dreamt We Spoke Again,92795927,2019-05-23,2019-05-22T00:00:00.000Z,16770,101714,1,6,1,true,44,188989,,188989,151139,,,,,,,,,,,,,16770,15881,,,,,,99925
Whethan,Superlove (Feat. Oh Wonder),92927674,2019-12-26,2019-12-20T00:00:00.000Z,28553,236426,6,6,1,true,9,94874,,94874,30168,94909,94908,30160,94876,,,,,,,,,28553,18599,28659,31881,27893,32959,37414,216010
Kevin Gates,Just Ride (Feat. Curren$y),93112893,2023-02-02,2023-02-01T00:00:00.000Z,6581,0,1,6,1,true,25,1431736,,1431736,1431759,,,,,,,,,,,,,6581,5365,,,,,,55325
YoungBoy Never Broke Again,Rain,94275612,2022-10-27,2022-10-21T00:00:00.000Z,285250,260,6,6,1,true,40,10637934,,10637934,10637934,10637934,10637934,10637934,10637934,10637934,,,,,,,,285250,307967,341383,386422,340547,419259,817816,1271367
Kevo Muney,Goat Flow,95232039,2019-05-16,2019-05-10T00:00:00.000Z,8446,41938,6,6,1,true,20,38392,,38392,38151,37857,37549,37213,36856,36632,,,,,,,,8446,8258,8579,8574,8453,9234,9305,54190
Rival Sons,Do Your Worst,95304965,2019-08-29,2019-08-23T00:00:00.000Z,19540,126689,6,6,1,true,18,77942,,77942,77854,77795,77727,77645,77552,77487,,,,,,,,19540,19042,18916,17843,14526,17803,21376,116979
Safia,Starlight,95320799,2020-08-20,2020-08-20T00:00:00.000Z,1012,7357,0,6,1,true,1,27514,,27514,,,,,,,,,,,,,,1012,,,,,,,7151
Notion,Real (Feat. Cecelia),95660839,2019-05-16,2019-05-13T00:00:00.000Z,849,2822,3,6,1,true,45,17524,,17524,17507,,17280,,,,,,,,,,,849,868,872,781,,,,6180
