ARTIST,TITLE,UNIFIED_SONG_ID,DATE,RELEASE_DATE,THIS_DAY,THIS_WEEK,DAYS_SINCE_RELEASE,DAY_OF_WEEK,RN,END_OF_WEEK,POPULARITY,IG_FOLLOWER_COUNT,TT_FOLLOWER_COUNT,IGFOLDAY0,IGFOLDAY1,IGFOLDAY2,IGFOLDAY3,IGFOLDAY4,IGFOLDAY5,IGFOLDAY6,TTFOLDAY0,TTFOLDAY1,TTFOLDAY2,TTFOLDAY3,TTFOLDAY4,TTFOLDAY5,TTFOLDAY6,DAY_0,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,TARGET
Kehlani,Feels,108238272,2019-02-28,2019-02-22T00:00:00.000Z,424891,1065,6,6,1,true,57,7332654,,7332654,7324562,7316714,7308567,7299628,7289603,7283855,,,,,,,,424891,459251,493824,544783,460669,574723,787705,1887304
Kehlani,Love Language,108238273,2019-02-28,2019-02-22T00:00:00.000Z,245254,824,6,6,1,true,38,7332654,,7332654,7324562,7316714,7308567,7299628,7289603,7283855,,,,,,,,245254,273406,308848,353842,298665,385321,490047,1156263
Kehlani,RPG,108238274,2019-02-28,2019-02-22T00:00:00.000Z,425754,1061,6,6,1,true,49,7332654,,7332654,1511578,1510136,7308567,1507047,7289603,7283855,,,,,,,,425754,460165,499347,564350,480292,597284,698454,2003192
Wallows,Worlds Apart,108256435,2019-12-26,2019-12-20T00:00:00.000Z,5133,35232,6,6,1,true,29,568168,,568168,567699,567143,566525,566585,565529,565152,,,,,,,,5133,4100,4873,5463,5070,5959,8473,36407
Ingrid Andress,Lady Like,108263105,2019-02-28,2019-02-22T00:00:00.000Z,84856,56,6,6,1,true,0,5972,,5972,5961,5933,5887,5806,5660,5645,,,,,,,,84856,83308,84481,86282,73658,74117,91523,462731
Lil Skies,I,108263780,2019-02-28,2019-02-28T00:00:00.000Z,104812,0,0,6,1,true,23,3869027,,3869027,,,,,,,,,,,,,,104812,,,,,,,13800116
Lil Skies,"Nowadays, Pt. 2",108263783,2019-02-28,2019-02-28T00:00:00.000Z,85885,0,0,6,1,true,8,441684,,441684,,,,,,,,,,,,,,85885,,,,,,,5697854
Lil Skies,Flooded,108263784,2019-02-28,2019-02-28T00:00:00.000Z,59754,0,0,6,1,true,11,3869027,,3869027,,,,,,,,,,,,,,59754,,,,,,,4463591
Lil Skies,Ok 4 Now,108263787,2019-02-28,2019-02-28T00:00:00.000Z,49093,0,0,6,1,true,15,3869027,,3869027,,,,,,,,,,,,,,49093,,,,,,,3815552
Lil Skies,Through The Motions,108263790,2019-02-28,2019-02-28T00:00:00.000Z,38444,0,0,6,1,true,10,3869027,,3869027,,,,,,,,,,,,,,38444,,,,,,,3193715
Lil Skies,No Rainy Days,108263792,2019-02-28,2019-02-28T00:00:00.000Z,30522,0,0,6,1,true,12,3869027,,3869027,,,,,,,,,,,,,,30522,,,,,,,2412489
Jack Gray,Down Side Of Up,108263916,2019-02-28,2019-02-22T00:00:00.000Z,663,,6,6,1,true,0,,,,,,,,,,,,,,,,,663,827,471,375,387,546,854,5407
Marina,Superstar,108264217,2019-03-07,2019-03-01T00:00:00.000Z,60102,415,6,6,1,true,27,1292446,,1292446,1291466,1290681,1289290,1287795,1286115,1284582,,,,,,,,60102,65577,71101,80242,73288,96913,158508,262145
Marina,Orange Trees,108264218,2019-06-13,2019-06-07T00:00:00.000Z,24737,226318,6,6,1,true,25,1380482,,1380482,,1379282,,1378025,1377547,,,,,,,,,24737,25882,26804,26806,22974,26853,34001,142547
Marina,Enjoy Your Life,108264219,2019-04-04,2019-04-04T00:00:00.000Z,71477,0,0,6,1,true,0,1327180,,1327180,,,,,,,,,,,,,,71477,,,,,,,380817
Marina,True,108264220,2019-04-04,2019-04-04T00:00:00.000Z,63531,0,0,6,1,true,3,1327180,,1327180,,,,,,,,,,,,,,63531,,,,,,,332560
Marina,To Be Human,108264221,2019-04-04,2019-04-04T00:00:00.000Z,63463,0,0,6,1,true,0,1327180,,1327180,,,,,,,,,,,,,,63463,,,,,,,560862
Marina,End Of The Earth,108264222,2019-04-04,2019-04-04T00:00:00.000Z,56631,0,0,6,1,true,2,1327180,,1327180,,,,,,,,,,,,,,56631,,,,,,,328622
Marina,You,108264224,2019-05-02,2019-04-26T00:00:00.000Z,30918,217,6,6,1,true,34,1358127,,1358127,1356958,1355845,1354419,1352371,1350208,1349462,,,,,,,,30918,32535,36773,41986,37629,48084,71120,142402
Marina,Karma,108264225,2019-09-19,2019-09-13T00:00:00.000Z,22950,69861,6,6,1,true,25,1432625,,1432625,1431451,1430470,1430413,1428470,1427607,1426908,,,,,,,,22950,23989,24912,26732,21666,26990,41622,135728
Marina,Emotional Machine,108264226,2019-05-02,2019-04-26T00:00:00.000Z,34890,214,6,6,1,true,39,1358127,,1358127,1356958,1355845,1354419,1352371,1350208,1349462,,,,,,,,34890,36462,41441,47495,44044,54648,76065,158331
Marina,Too Afraid,108264227,2019-05-02,2019-04-26T00:00:00.000Z,27373,179,6,6,1,true,37,1358127,,1358127,1356958,1355845,1354419,1352371,1350208,1349462,,,,,,,,27373,28708,32828,37512,33894,43020,61903,123955
Marina,No More Suckers,108264228,2019-09-19,2019-09-13T00:00:00.000Z,8848,27899,6,6,1,true,19,1432625,,1432625,1431451,1430470,1430413,1428470,1427607,1426908,,,,,,,,8848,9165,9766,10820,8876,10287,13867,59488
Marina,Soft To Be Strong,108264229,2019-05-02,2019-04-26T00:00:00.000Z,24381,162,6,6,1,true,37,1358127,,1358127,1356958,1355845,1354419,1352371,1350208,1349462,,,,,,,,24381,25590,29086,33090,30359,38511,54377,111910
Wallows,Treacherous Doctor,108264602,2019-03-28,2019-03-22T00:00:00.000Z,40309,307,6,6,1,true,50,316447,,316447,314425,312230,309773,306588,303209,302331,,,,,,,,40309,41527,46986,54198,43890,53021,91736,190984
Wallows,Sidelines,108264603,2019-12-26,2019-12-20T00:00:00.000Z,11674,82315,6,6,1,true,33,568168,,568168,567699,567143,566525,566585,565529,565152,,,,,,,,11674,8954,10640,11423,10863,12577,16118,79542
Wallows,Ice Cold Pool,108264604,2019-12-26,2019-12-20T00:00:00.000Z,8407,65395,6,6,1,true,34,568168,,568168,567699,567143,566525,566585,565529,565152,,,,,,,,8407,6794,7950,8551,8448,9953,13163,58934
Wallows,What You Like,108264605,2019-12-26,2019-12-20T00:00:00.000Z,6484,43111,6,6,1,true,34,568168,,568168,567699,567143,566525,566585,565529,565152,,,,,,,,6484,4999,6121,6649,5995,7462,9808,44382
Wallows,Remember When,108264606,2019-03-28,2019-03-22T00:00:00.000Z,62942,279,6,6,1,true,70,316447,,316447,314425,312230,309773,306588,303209,302331,,,,,,,,62942,65301,67791,73403,58883,69546,113222,275468
Wallows,I'M Full,108264607,2019-12-26,2019-12-20T00:00:00.000Z,6116,43423,6,6,1,true,23,568168,,568168,567699,567143,566525,566585,565529,565152,,,,,,,,6116,4945,5708,6309,5915,6995,9274,42115
Wallows,Do Not Wait,108264608,2019-12-26,2019-12-20T00:00:00.000Z,6153,43767,6,6,1,true,23,568168,,568168,567699,567143,566525,566585,565529,565152,,,,,,,,6153,4831,5746,6301,5906,7146,9387,42051
Ava Max,So Am I,108264625,2019-03-07,2019-03-07T00:00:00.000Z,17885,0,0,6,1,true,0,289896,,289896,,,,,,,,,,,,,,17885,,,,,,,1670659
Trey Songz,Jill (Sumn Real),108264637,2019-02-28,2019-02-25T00:00:00.000Z,57802,0,3,6,1,true,35,10762224,,10762224,10756521,10751600,10746370,,,,,,,,,,,57802,57297,48145,12233,,,,657794
Jasmine Thompson,Take Care,108264638,2019-03-07,2019-03-01T00:00:00.000Z,11587,15,6,6,1,true,20,571361,,571361,571470,571709,571844,571970,571997,572086,,,,,,,,11587,11761,12355,13411,10781,17090,34371,38101
Lizzo,Like A Girl,108264640,2019-04-18,2019-04-17T00:00:00.000Z,474,,1,6,1,true,36,727762,,727762,721162,,,,,,,,,,,,,474,0,,,,,,1927041
Lizzo,Soulmate,108264641,2019-04-18,2019-04-17T00:00:00.000Z,515,,1,6,1,true,23,727762,,727762,721162,,,,,,,,,,,,,515,0,,,,,,2486362
Lizzo,Jerome,108264642,2019-04-18,2019-04-17T00:00:00.000Z,348,,1,6,1,true,33,727762,,727762,721162,,,,,,,,,,,,,348,0,,,,,,1403512
Lizzo,Cry Baby,108264643,2019-04-18,2019-04-17T00:00:00.000Z,309,,1,6,1,true,25,727762,,727762,721162,,,,,,,,,,,,,309,0,,,,,,1142508
Lizzo,Tempo,108264644,2019-03-21,2019-03-20T00:00:00.000Z,172356,1,1,6,1,true,38,596650,,596650,591999,,,,,,,,,,,,,172356,118488,,,,,,2065654
Lizzo,Exactly How I Feel,108264645,2019-04-18,2019-04-17T00:00:00.000Z,290,,1,6,1,true,27,11002465,,11002465,721162,,,,,,,,,,,,,290,0,,,,,,1244763
Lizzo,Better In Color,108264646,2019-04-18,2019-04-17T00:00:00.000Z,253,,1,6,1,true,42,727762,,727762,721162,,,,,,,,,,,,,253,0,,,,,,1116371
Lizzo,Heaven Help Me,108264647,2019-04-18,2019-04-17T00:00:00.000Z,210,,1,6,1,true,24,727762,,727762,721162,,,,,,,,,,,,,210,0,,,,,,1056080
Lizzo,Lingerie,108264648,2019-04-18,2019-04-17T00:00:00.000Z,236,,1,6,1,true,27,727762,,727762,721162,,,,,,,,,,,,,236,0,,,,,,881496
Rob Thomas,Timeless,108264654,2019-04-18,2019-04-12T00:00:00.000Z,16661,48,6,6,1,true,0,157178,,157178,156906,156906,156650,156473,156233,155878,,,,,,,,16661,14206,14265,15516,11302,16779,35585,55717
Rob Thomas,Funny,108264656,2019-05-02,2019-04-26T00:00:00.000Z,12403,140,6,6,1,true,28,162775,,162775,162043,161680,161221,160764,160208,159687,,,,,,,,12403,12345,13072,15059,12799,18690,28015,60225
Rob Thomas,I Love It,108264657,2019-04-04,2019-03-29T00:00:00.000Z,12699,39,6,6,1,true,0,152728,,152728,152414,152277,152042,151768,151509,150840,,,,,,,,12699,12893,13867,14857,10001,16205,37314,36409
Rob Thomas,The Man To Hold The Water,108264658,2019-05-02,2019-04-26T00:00:00.000Z,10264,139,6,6,1,true,22,162775,,162775,162043,161680,161221,160764,160208,159687,,,,,,,,10264,10086,10858,12511,10856,15869,24487,48690
Rob Thomas,We Were Beautiful,108264659,2019-05-02,2019-04-26T00:00:00.000Z,17557,138,6,6,1,true,29,162775,,162775,162043,161680,161221,160764,160208,159687,,,,,,,,17557,17168,18348,20814,17330,25944,48182,69867
Rob Thomas,The Worst In Me,108264662,2019-05-02,2019-04-26T00:00:00.000Z,9464,109,6,6,1,true,26,162775,,162775,162043,161680,161221,160764,160208,159687,,,,,,,,9464,9484,10079,11440,9843,14104,20889,45134
Rob Thomas,Tomorrow,108264663,2019-05-02,2019-04-26T00:00:00.000Z,9062,102,6,6,1,true,24,162775,,162775,162043,161680,161221,160764,160208,159687,,,,,,,,9062,8948,9666,10727,9371,13485,19806,41948
Rob Thomas,Breathe Out,108264664,2019-05-02,2019-04-26T00:00:00.000Z,8300,101,6,6,1,true,20,162775,,162775,162043,161680,161221,160764,160208,159687,,,,,,,,8300,8253,8966,10257,8736,12577,18808,38882
Lauren Daigle,Don'T Dream It's Over (Recorde,108265969,2019-02-21,2019-02-20T00:00:00.000Z,6887,0,1,6,1,true,52,1190712,,1190712,1189294,,,,,,,,,,,,,6887,3332,,,,,,189095
Catie Turner,Prom Queen,108313643,2019-03-07,2019-03-01T00:00:00.000Z,4486,44,6,6,1,true,40,298160,,298160,297404,297172,297257,297218,297332,297307,,,,,,,,4486,4057,5018,5257,4122,5384,10604,26482
Weezer,Living In L.A.,108337775,2019-02-21,2019-02-21T00:00:00.000Z,18298,0,0,6,1,true,2,297603,,297603,,,,,,,,,,,,,,18298,,,,,,,168419
Quando Rondo,Scarred From Love,108443178,2019-03-21,2019-03-15T00:00:00.000Z,54760,40,6,6,1,true,0,1455230,,1455230,1454463,1449301,1443408,1437446,1432819,1428776,,,,,,,,54760,51274,45869,33336,21424,23110,7582,415896
Weezer,I'm Just Being Honest,108465001,2019-03-07,2019-03-01T00:00:00.000Z,72359,661,6,6,1,true,32,308885,,308885,308497,308033,307229,304590,301415,300878,,,,,,,,72359,77015,91965,90940,73663,114670,223746,256798
Kodak Black,Pimpin Ain't Eazy,108582604,2019-03-07,2019-03-01T00:00:00.000Z,503881,52,6,6,1,true,52,7756182,,7756182,7747068,7736594,7728225,7719365,7710351,7701208,,,,,,,,503881,503643,524977,549506,434690,484952,498793,3004948
Tiesto & Dzeko,Halfway There,108582656,2019-03-21,2019-03-15T00:00:00.000Z,56978,74,6,6,1,true,32,247592,,247592,247604,247626,247637,247487,247449,,,,,,,,,56978,53894,55453,59179,46692,67477,112990,265035
Briston Maroney,St. Augustine,108583022,2019-05-09,2019-05-03T00:00:00.000Z,1476,10,6,6,1,true,0,9202,,9202,9170,9157,9140,9095,9040,9031,,,,,,,,1476,1587,1636,1849,1530,2232,4785,10015
Raiche,Drive,108583023,2019-03-07,2019-03-01T00:00:00.000Z,1295,5,6,6,1,true,28,17017,,17017,16905,16797,16693,16586,16417,16331,,,,,,,,1295,1230,1245,1351,1226,1278,1547,8967
Burna Boy,Dangote,108583029,2019-03-07,2019-03-01T00:00:00.000Z,51177,1048,6,6,1,true,0,2480345,,2480345,2474767,2470962,2466994,2463986,2460492,2458087,,,,,,,,51177,53166,56142,53533,46658,50593,50757,278122
Briston Maroney,Small Talk,108583030,2019-05-23,2019-05-17T00:00:00.000Z,4571,6,6,6,1,true,59,9726,,9726,9703,9671,9616,9563,9478,9448,,,,,,,,4571,3838,3838,4140,3512,4284,6382,20964
Kranium,Just The Style,108583032,2019-03-07,2019-03-01T00:00:00.000Z,12362,2,6,6,1,true,0,339415,,339415,339108,,338178,,337278,,,,,,,,,12362,12450,13092,13290,12401,14485,10319,101021
Cheat Codes & Daniel Blume,Who's Got Your Love,108583114,2019-03-21,2019-03-15T00:00:00.000Z,77425,144,6,6,1,true,14,,,,,,,,327752,,,,,,,,,77425,82738,84650,85240,65329,92130,175563,412491
Pink Sweat$,I Know,108583693,2019-03-07,2019-03-01T00:00:00.000Z,71800,51,6,6,1,true,0,145311,,145311,144684,144264,143647,142915,142177,141661,,,,,,,,71800,72385,71690,72598,59522,74079,114919,335108
Zero 9:36,Leave The Light On,108584292,2020-03-19,2020-03-13T00:00:00.000Z,5980,45009,6,6,1,true,12,27588,,27588,27588,27474,27359,27374,27292,27210,,,,,,,,5980,6165,6196,6221,5705,6340,7692,41535
Yella Beezy,Rich Mf,108626755,2019-05-23,2019-05-21T00:00:00.000Z,23690,0,2,6,1,true,0,1248502,,1248502,1245962,1243737,,,,,,,,,,,,23690,17207,4149,,,,,526652
Yella Beezy,Bacc At It Again,108626808,2019-03-21,2019-03-15T00:00:00.000Z,248323,413,6,6,1,true,0,,,,,10814953,1075494,,1068393,1065896,,,,,,,,248323,249850,246059,240908,196940,247819,299284,1368644
Ben Platt,Grow As We Go,108628622,2019-03-07,2019-03-01T00:00:00.000Z,90202,321,6,6,1,true,0,,,,,,,,,,,,,,,,,90202,90396,93912,101472,88510,108708,173585,549442
Lil Skies,When I'm Wasted,108628629,2019-02-28,2019-02-28T00:00:00.000Z,46208,0,0,6,1,true,11,3869027,,3869027,,,,,,,,,,,,,,46208,,,,,,,3776689
Skooly,Lil Boy Shit,108791651,2019-04-18,2019-04-12T00:00:00.000Z,28329,209973,6,6,1,true,20,388566,,388566,388555,388500,388500,388452,388428,388324,,,,,,,,28329,27648,27256,27517,23067,27022,30264,182294
Khalid,Right Back,108801020,2019-08-08,2019-08-02T00:00:00.000Z,782174,1025114,6,6,1,true,54,7418496,,7418496,7388829,7374228,7359611,7347695,7333833,7321855,,,,,,,,782174,769891,776421,769659,647084,739165,958503,5432628
Maren Morris,All My Favorite People,108803175,2019-03-14,2019-03-08T00:00:00.000Z,181641,502,6,6,1,true,0,931091,,931091,275397,927692,274711,921698,918701,917882,,,,,,,,181641,189259,208461,230310,181699,232746,313897,843963
KREAM,Edit You (Feat. Stela Cole),108839848,2019-05-30,2019-05-29T00:00:00.000Z,5873,35714,1,6,1,true,13,5868,,5868,5873,,,,,,,,,,,,,5873,5714,,,,,,38785
YBN Cordae,Have Mercy,108839849,2019-03-07,2019-03-07T00:00:00.000Z,315,,0,6,1,true,0,1218453,,1218453,,,,,,,,,,,,,,315,,,,,,,2220546
Ofenbach,Rock It,108839885,2019-07-04,2019-06-28T00:00:00.000Z,2192,14243,6,6,1,true,6,89476,,89476,88426,88656,,,82618,,,,,,,,,2192,2162,1841,1927,1779,2067,2084,13935
Pnb Rock,I Like Girls,108840198,2019-03-21,2019-03-20T00:00:00.000Z,165385,0,1,6,1,true,14,4011336,,4011336,1787971,,,,,,,,,,,,,165385,0,,,,,,4794839
Pardison Fontaine,Madden Flow,108840201,2019-03-14,2019-03-08T00:00:00.000Z,33686,89,6,6,1,true,25,206765,,206765,206689,206051,205839,205626,205414,205332,,,,,,,,33686,31585,32168,33084,23809,30372,42379,152950
Rico Nasty,Sandy,108840202,2019-03-14,2019-03-08T00:00:00.000Z,31485,1283,6,6,1,true,28,617837,,617837,616872,609068,605144,601219,597295,593767,,,,,,,,31485,30435,31894,35714,29226,38514,55947,175154
Ofenbach & Portugal. The Man,We Can Hide Out,108840259,2019-04-18,2019-04-12T00:00:00.000Z,2982,3,6,6,1,true,35,218181,,218181,70346,70138,218179,218058,218032,217924,,,,,,,,2982,2933,2655,1693,1006,1263,1747,24771
Why Don't We & Macklemore,I Don't Belong In This Club,108840286,2019-03-21,2019-03-20T00:00:00.000Z,262127,0,1,6,1,true,51,4419829,,4419829,3763237,,,,,,,,,,,,,262127,318567,,,,,,2566752
Ellie Goulding,Mama (Feat. Ellie Goulding) [acoustic],108877876,2019-03-28,2019-03-22T00:00:00.000Z,7873,4,6,6,1,true,22,1044532,,1044532,14022931,14022399,1041069,14020402,1038198,1036299,,,,,,,,7873,7526,8295,8925,6551,10571,22261,47435
MIST,Can'T Stop Clocks,109036361,2019-03-28,2019-03-28T00:00:00.000Z,337,,0,6,1,true,29,,,,,,,,,,,,,,,,,337,,,,,,,8567
TLE Cinco,Scratch That,109036514,2019-03-28,2019-03-22T00:00:00.000Z,8398,25,6,6,1,true,13,28200,,28200,28041,27928,27703,27512,27093,26905,,,,,,,,8398,8842,9611,10851,10695,13472,21937,49788
TLE Cinco,City To City,109036517,2019-03-28,2019-03-22T00:00:00.000Z,5943,13,6,6,1,true,11,28200,,28200,28041,27928,27703,27512,27093,26905,,,,,,,,5943,6253,6891,7273,7183,8826,13928,33336
TLE Cinco,Fuck Nigga,109036524,2019-03-28,2019-03-22T00:00:00.000Z,6933,9,6,6,1,true,12,28200,,28200,28041,27928,27703,27512,27093,26905,,,,,,,,6933,6953,7490,8408,8372,9565,14338,40230
Faouzia,Born Without A Heart,109036581,2019-03-28,2019-03-28T00:00:00.000Z,2285,,0,6,1,true,61,134217,,134217,,,,,,,,,,,,,,2285,,,,,,,26420
Crooked Colours,I C Light,109037037,2019-05-23,2019-05-17T00:00:00.000Z,1562,22,6,6,1,true,32,15584,,15584,15540,15470,15367,15294,15189,15155,,,,,,,,1562,1569,1613,1577,1084,1400,2230,7398
Crooked Colours,Never Dance Alone (Feat. Ladyh,109037041,2019-08-08,2019-08-02T00:00:00.000Z,2435,6718,6,6,1,true,11,18122,,18122,13554,13558,13541,22139,13517,13489,,,,,,,,2435,2600,2591,2649,2182,3185,6122,12849
JayDaYoungan,Repo,109297462,2019-03-28,2019-03-22T00:00:00.000Z,134816,55,6,6,1,true,0,1198721,,1198721,1195203,1191693,1188113,1184971,1181606,1179057,,,,,,,,134816,132806,130698,107992,64300,65638,59496,804099
"Djds, Burna Boy",34,109297833,2019-03-21,2019-03-21T00:00:00.000Z,2784,,0,6,1,true,19,2558722,,2558722,,,,,,,,,,,,,,2784,,,,,,,93889
"Djds, Burna Boy",Innocent Man,109297834,2019-03-21,2019-03-21T00:00:00.000Z,2230,,0,6,1,true,19,2558722,,2558722,,,,,,,,,,,,,,2230,,,,,,,95001
Matt Maeson,I Just Don'T Care That Much,109298824,2019-04-11,2019-04-05T00:00:00.000Z,38424,143,6,6,1,true,45,37415,,37415,37248,37092,36937,36658,36174,36072,,,,,,,,38424,40107,42165,46586,37551,53413,115101,133599
Matt Maeson,Legacy,109298826,2019-10-24,2019-10-18T00:00:00.000Z,7454,23137,6,6,1,true,28,51834,,51834,51671,51746,51507,51411,51305,51259,,,,,,,,7454,7442,7573,7757,6310,6606,7703,40215
Matt Maeson,Dancing After Death,109298827,2019-04-11,2019-04-05T00:00:00.000Z,11308,57,6,6,1,true,45,37415,,37415,37248,37092,36937,36658,36174,36072,,,,,,,,11308,12442,13338,15072,12371,16038,25729,57579
Matt Maeson,Feel Good,109298828,2019-10-24,2019-10-18T00:00:00.000Z,7607,26350,6,6,1,true,28,51834,,51834,51671,51746,51507,51411,51305,51259,,,,,,,,7607,7618,8165,8234,6294,6600,7798,42770
Matt Maeson,Bank On The Funeral,109298829,2019-10-24,2019-10-18T00:00:00.000Z,6072,19085,6,6,1,true,26,51834,,51834,51671,51746,51507,51411,51305,51259,,,,,,,,6072,6157,6460,6533,5171,5356,6318,31874
Cheat Codes,Be The One,109299076,2019-04-11,2019-04-05T00:00:00.000Z,54559,55,6,6,1,true,25,331564,,331564,331500,331389,,,,331262,,,,,,,,54559,56768,59483,62372,47910,74580,154635,199403
Kelly Clarkson,Broken & Beautiful,109299102,2019-03-28,2019-03-27T00:00:00.000Z,136541,0,1,6,1,true,59,4007668,,4007668,4006958,,,,,,,,,,,,,136541,131196,,,,,,1424359
Why Don't We,Don't Change,109299103,2019-04-25,2019-04-19T00:00:00.000Z,102316,2261,6,6,1,true,44,3850728,,3850728,3847874,3844733,3841566,3838693,3837443,3835119,,,,,,,,102316,109272,119450,136002,125859,156870,235471,702994
Blake,Too Many,109299105,2019-04-04,2019-03-29T00:00:00.000Z,20418,0,6,6,1,true,21,181379,,181379,181294,181191,181085,180999,180880,180856,,,,,,,,20418,20981,20040,21182,16107,19578,19656,99966
Kelly Clarkson,Couldn't Be Better,109299112,2019-05-02,2019-04-26T00:00:00.000Z,19323,78,6,6,1,true,33,4097312,,4097312,,,,,,,,,,,,,,19323,13789,11212,11749,10271,12227,14781,140656
Kelly Clarkson,Today's The Day,109299113,2019-05-02,2019-04-26T00:00:00.000Z,6187,31,6,6,1,true,41,4097312,,4097312,4093906,4090258,4090258,4083253,4079216,4073196,,,,,,,,6187,4220,2973,3172,2825,3343,4834,42932
Janelle Monae,All Dolled Up,109299118,2019-05-02,2019-04-26T00:00:00.000Z,4182,23,6,6,1,true,32,4097312,,4097312,4093906,4090258,3058975,3057045,3055409,4073196,,,,,,,,4182,2991,2810,2887,2418,2873,4163,39931
Janelle Monae & Kelly Clarkson,Unbreakable,109299119,2019-05-02,2019-04-26T00:00:00.000Z,3296,1,6,6,1,true,44,4097312,,4097312,4093906,4090258,3058975,3057045,3055409,4073196,,,,,,,,3296,2818,2564,2522,2139,2243,3183,70325
Saweetie,My Type,109299148,2019-04-04,2019-03-29T00:00:00.000Z,120126,279,6,6,1,true,15,1899094,,1899094,1883846,1879346,1873079,1866934,1860390,1858847,,,,,,,,120126,125381,112428,103565,102864,136246,154800,684514
Saweetie,Dipped In Ice,109299149,2019-04-04,2019-03-29T00:00:00.000Z,43499,220,6,6,1,true,0,1899094,,1899094,1883846,1879346,1873079,1866934,1860390,1858847,,,,,,,,43499,47236,42933,42203,44441,66127,97715,217213
Saweetie,Hot Boy,109299150,2019-04-04,2019-03-29T00:00:00.000Z,28221,180,6,6,1,true,9,1899094,,1899094,1883846,1879346,1873079,1866934,1860390,1858847,,,,,,,,28221,31669,28396,27847,29658,45808,71799,125696
Saweetie,1 Of 1,109299151,2019-04-04,2019-03-29T00:00:00.000Z,21244,135,6,6,1,true,10,1899094,,1899094,1883846,1879346,1873079,1866934,1860390,1858847,,,,,,,,21244,23902,21634,21650,23123,36511,59923,90310
Saweetie,Trick,109299153,2019-04-04,2019-03-29T00:00:00.000Z,34580,226,6,6,1,true,0,1899094,,1899094,1883846,1879346,1873079,1866934,1860390,1858847,,,,,,,,34580,38994,35585,36153,37282,59850,105940,144283
Lykke Li,Possibility (Mtv Unplugged),109300082,2022-12-08,2022-12-02T00:00:00.000Z,2443,9,6,6,1,true,40,384489,,384489,384399,384360,384382,384329,384238,384235,,,,,,,,2443,3279,3872,3964,1812,2720,5462,10742
Pink Sweat$,Coke & Henny Pt. 1,109308299,2019-03-28,2019-03-22T00:00:00.000Z,86832,42,6,6,1,true,0,168902,,168902,167205,165989,165022,164046,163370,162588,,,,,,,,86832,65501,63821,66253,53007,65797,112082,1486582
Ben Platt,Run Away,109311194,2019-04-04,2019-03-29T00:00:00.000Z,41965,346,6,6,1,true,40,,,,,,,,,,,,,,,,,41965,43743,46651,54574,48873,56696,81030,193526
Ben Platt,Older,109311195,2019-04-04,2019-03-29T00:00:00.000Z,69419,360,6,6,1,true,43,,,,,,,,,,,,,,,,,69419,70458,73869,84906,71311,85909,142306,280438
Ben Platt,In Case You Don’t Live Forever,109311196,2019-04-04,2019-03-29T00:00:00.000Z,55837,423,6,6,1,true,50,,,,,,,,,,,,,,,,,55837,57824,61918,72093,63157,72388,102518,264108
Ben Platt,Share Your Address,109311197,2019-04-04,2019-03-29T00:00:00.000Z,53867,411,6,6,1,true,49,,,,,,,,,,,,,,,,,53867,56376,59013,68713,60264,69883,99427,255223
Ben Platt,Better,109311198,2019-04-04,2019-03-29T00:00:00.000Z,45625,412,6,6,1,true,26,,,,,,,,,,,,,,,,,45625,47402,50833,59870,52575,62117,94145,211184
Ben Platt,New,109311199,2019-04-04,2019-03-29T00:00:00.000Z,52193,423,6,6,1,true,38,,,,,,,,,,,,,,,,,52193,54116,57254,67427,58754,69401,103364,239841
Ben Platt,Hurt Me Once,109311200,2019-04-04,2019-03-29T00:00:00.000Z,45797,406,6,6,1,true,25,,,,,,,,,,,,,,,,,45797,46904,50310,59570,52753,62753,99527,209079
Ben Platt,Honest Man,109311201,2019-04-04,2019-03-29T00:00:00.000Z,49865,448,6,6,1,true,38,,,,,,,,,,,,,,,,,49865,50738,53658,63197,56099,67122,107360,226350
Zero 9:36,W W Y D F,109360666,2020-03-19,2020-03-13T00:00:00.000Z,7414,63294,6,6,1,true,12,27588,,27588,27588,27474,27359,27374,27292,27210,,,,,,,,7414,7644,7662,7746,6628,7753,9260,56290
Nocap,Ghetto Angels,109477105,2019-04-11,2019-04-09T00:00:00.000Z,6115,28872,2,6,1,true,13,,,,,,,,,,,,,,,,,6115,6330,5848,,,,,43479
Saweetie,Tip Toes,109500932,2019-04-04,2019-03-29T00:00:00.000Z,151803,277,6,6,1,true,18,,,,,,,1866934,1860390,1858847,,,,,,,,151803,155253,144292,138828,131310,169429,207223,751828
Ti╦Sto & 7 Skies,Trouble (Feat. Micky Blue),109501166,2019-04-04,2019-04-04T00:00:00.000Z,643,,0,6,1,true,14,5460,,5460,,,,,,,,,,,,,,643,,,,,,,206979
Ti╦Sto & Aazar,Diamonds (Feat. Micky Blue),109501167,2019-04-04,2019-04-04T00:00:00.000Z,914,,0,6,1,true,5,5460,,5460,,,,,,,,,,,,,,914,,,,,,,53992
Bazzi,Caught In The Fire,109501497,2019-04-04,2019-04-01T00:00:00.000Z,174035,0,3,6,1,true,40,,,,,,,,,,,,,,,,,174035,177154,193443,104174,,,,1663547
Joel Corry,Sorry,109501669,2019-04-11,2019-04-05T00:00:00.000Z,1893,0,6,6,1,true,0,217008,,217008,217019,217041,217078,217238,217309,,,,,,,,,1893,1734,1707,1286,1141,1351,1159,13381
